ProductID,ProductName,Category,UnitPrice,StockQuantity,Supplier
2031.0,Office-Develop,Office,565.3,514,Kilimanjaro Co.
2032.0,Electronics-There,Electronics,945.6,876,Tloma 
2033.0,Clothing-Argue,Electronics,836.25,789,Tloma 
2034.0,Clothing-Feel,Office,136.17,"9,999",Tloma 
2035.0,Home-According,Home,899.99,456,JALL
2036.0,Electronics-Candidate,Home,217.98,5667,JALL
2037.0,Clothing-Meeting,Electronics,360.14,8776,Kilimanjaro Co.
2038.0,Office-Soon,Clothing,926.51,2345,Kilimanjaro Co.
2039.0,Clothing-Need,Clothing,976.44,4589,JALL
2040.0,Clothing-Determine,Office,34.54,3458,JALL
2041.0,Home-Assume,Office,804.21,546,Kilimanjaro Co.
2042.0,Clothing-Lawyer,Home,167.61,665,Tloma 
2043.0,Electronics-Practice,Office,873.45,990,Tloma 
2044.0,Office-Society,Clothing,207.58,7890,Tloma 
2045.0,Office-Next,Home,312.14,7546,JALL
2046.0,Clothing-Worry,Clothing,33.43,144,JALL
2047.0,Clothing-Hair,Office,334.98,345,Kilimanjaro Co.
2048.0,Electronics-Candidate,Home,357.63,5678,Kilimanjaro Co.
2049.0,Office-Easy,Home,939.84,6599,Kilimanjaro Co.
2050.0,Electronics-Young,Home,186.78,5400,Tloma 
2051.0,Home-Century,Electronics,117.32,679,Tloma 
2052.0,Office-Year,Home,731.26,740,Tloma 
2053.0,Home-Ground,Office,610.15,800,JALL
2054.0,Electronics-Above,Office,900.51,354,JALL
2055.0,Clothing-Politics,Home,53.94,8990,Kilimanjaro Co.
2056.0,Office-About,Electronics,524.72,7890,Kilimanjaro Co.
2057.0,Clothing-Identify,Home,436.98,690,JALL
2058.0,Home-Wear,Home,666.75,694,JALL
2059.0,Electronics-Clear,Home,512.05,980,Kilimanjaro Co.
2060.0,Office-Term,Home,408.38,1299,Tloma 
2061.0,Home-Quite,Clothing,199.92,1500,Tloma 
2062.0,Office-Receive,Clothing,619.36,990,Tloma 
2063.0,Home-Good,Office,552.46,7890,JALL
2064.0,Electronics-Stop,Home,294.04,7546,JALL
2065.0,Office-Animal,Home,470.34,144,Kilimanjaro Co.
2066.0,Office-Occur,Clothing,516.06,345,Kilimanjaro Co.
2067.0,Clothing-Remain,Electronics,290.95,5678,Kilimanjaro Co.
2068.0,Home-Read,Electronics,820.24,6599,Tloma 
2069.0,Clothing-Garden,Home,232.39,5400,Tloma 
2070.0,Clothing-About,Clothing,34.18,679,Tloma 
2071.0,Clothing-Success,Office,615.16,740,JALL
2072.0,Electronics-Become,Office,420.3,800,JALL
2073.0,Clothing-Executive,Office,499.43,354,Kilimanjaro Co.
2074.0,Clothing-Strong,Clothing,659.5,8990,Kilimanjaro Co.
2075.0,Electronics-Letter,Electronics,780.64,7890,JALL
2076.0,Clothing-Affect,Clothing,806.07,690,JALL
2077.0,Office-Ball,Electronics,561.83,694,Kilimanjaro Co.
2078.0,Electronics-Film,Office,142.01,980,Tloma 
2079.0,Office-Who,Home,950.54,1299,Tloma 
2080.0,Office-Doctor,Office,832.26,1500,Tloma 
2081.0,Office-Light,Clothing,746.22,990,JALL
2082.0,Office-Figure,Office,266.6,7890,JALL
2083.0,Clothing-Cut,Home,768.16,7546,Kilimanjaro Co.
2084.0,Office-Stuff,Clothing,281.85,144,Kilimanjaro Co.
2085.0,Electronics-Officer,Home,242.15,345,Kilimanjaro Co.
2086.0,Home-Of,Home,894.1,5678,Tloma 
2087.0,Electronics-Rather,Clothing,159.32,6599,Tloma 
2088.0,Office-Evening,Clothing,709.35,5400,Tloma 
2089.0,Electronics-Action,Office,413.52,679,JALL
2090.0,Office-Staff,Office,71.64,740,JALL
2091.0,Office-Mrs,Office,905.79,800,Kilimanjaro Co.
2092.0,Electronics-Add,Office,482.21,354,Kilimanjaro Co.
2093.0,Home-Real,Home,755.94,8990,JALL
2094.0,Office-Fight,Clothing,493.35,7890,JALL
2095.0,Home-Seem,Office,490.79,690,Kilimanjaro Co.
2096.0,Office-Discuss,Home,672.18,694,Tloma 
2097.0,Office-Recent,Clothing,842.1,980,Tloma 
2098.0,Clothing-Trouble,Electronics,907.86,1299,Tloma 
2099.0,Electronics-Several,Electronics,646.32,1500,JALL
2049.5,Electronics-Be,Home,507.76670000000007,990,JALL
